tweet_id,screen_name,twitter_id,created_at,text,place,in_reply_to_status_id,quoted_status_id,favorite_count,retweet_count,followers_count,friends_count,retweet_id,lang,retweeted,topic
1521087064720166915,victorabadf1,2755544640,2022-05-02 11:19:51,"🏁 H O R A R I O S 🏁

¡Sí, este finde sí que hay carrera! 🤩

Llega el primer Gran Premio de Miami 🇺🇸 de Fórmula 1 y, con él, llegan unos horarios algo atípicos.

🚨 Cada una de las 5 sesiones tendrá su horario distinto. No se despisten.

Comparte los horarios, salva una vida. https://t.co/kX5qiBZn8b",,,,3694,664,145436,836,,es,0,formula 1
1520945296712388610,AFPespanol,851108442,2022-05-02 01:56:31,La imagen del Cristo Redentor en Rio de Janeiro luce los colores del casco del fallecido piloto brasileño de Formula 1 Ayrton Senna en el 28º aniversario de su muerte #AFP https://t.co/M6yPDnL3c8,,,,670,204,628932,982,,es,0,formula 1
1520764150229655552,SC_ESPN,524531680,2022-05-01 13:56:42,"Este 1° de mayo se cumplen 28 años de la trágica muerte de Ayrton Senna, el hombre que marcó un antes y un después en la Fórmula 1: aquí, un emotivo repaso por su carrera en fotos. Para recordarlo, para disfrutarlo y para emocionarse...
https://t.co/LF7I8jEboK",,,,448,134,2636877,22,,es,0,formula 1
1520764075940134919,ReconPerdido,1275593370715459586,2022-05-01 13:56:24,"«Qué tentador traer a colación la fórmula de la desautorizacion fetichista: ""Lo sé muy bien, pero aun así..."". A los ejemplos comunes de esta fórmula (""Yo sé que la Madre no tiene falo, pero aun así... [creo que si lo tiene]""; ""Yo sé que los judíos son gente como nosotros, https://t.co/tjIVWhuFLi",,,,2,0,527,436,,es,0,formula 1
1520764067270598656,AM_1080,201841968,2022-05-01 13:56:22,"#Efemérides Hoy hace 28 años que nos dejó Ayrton Senna, uno de los más grandes pilotos de Fórmula 1 de todos los tiempos.

🗞️ Retrochenta

#AM1080 📻 https://t.co/KmWZHz9BAd",,,,33,9,433335,188,,es,0,formula 1
1520764019426177024,Albertdw98,1628460614,2022-05-01 13:56:11,"En la Fórmula 1 pasan muchas cosas ocultas que no sabemos hasta años después... O nunca. Hoy, Rosberg nos desvela un secreto de 2016. https://t.co/U2eezON8BZ",,,,1,0,1128,1339,,es,0,formula 1
1520763898873454592,MarianoRosell,630584923,2022-05-01 13:55:42,"01 de mayo de 1994: muere Ayrton Senna, piloto brasileño de Fórmula 1, considerado por muchos expertos como el mejor piloto de la historia. https://t.co/uanv7N0CHd",,,,0,0,604,491,,es,0,formula 1
1520763870989725696,Soloenmty_,1341890366748975105,2022-05-01 13:55:35,@camion_desde Algún conductor famoso de la playa que haya brincado a la Fórmula 1. 😂😂😂,,1520762209210613760,,1,0,1712,1166,,es,0,formula 1
1520763762113847299,drivers_f1,1293387607641133057,2022-05-01 13:55:09,"🇳🇱 Nyck de Vries puede ser el favorito para reemplazar a Nicholas Latifi en Williams.

➡ El campeón de Fórmula E 2021 parece ser un objetivo prioritario sobre Oscar Piastri, debido a que Williams quiere tener pilotos propios y no cesiones (Piastri es de Alpine). https://t.co/I3u5bp7tr5",,,,2,0,860,2156,,es,0,formula 1
1520763712608473088,locutorhumilde,73184144,2022-05-01 13:54:58,"Podrán romper mil récord, ganar la cantidad de títulos más inalcanzable de la historia, y aún así, este hombre fue el mejor piloto de Formula Uno de todos los tiempos.

Si después de su muerte tuvieron que cambiar muchas reglas es por algo.

#F1 #AyrtonSenna https://t.co/yfhLNP6rSL",,,,17,6,1575,2635,,es,0,formula 1
